ATLETA;RATING
VANESSA HAYASHI;1329, 1350, 1347
VICTOR DIAS;2103, 2112, 2115, 2097
VICTOR ITO;141, 132
VICTOR SCHERER;211, 193, 178
VINICIUS ALBANO;1865
VINÍCIUS CHICUTA;204, 246, 231
VINICIUS NEGRI;339, 309
VITOR BARRATELLA;55, 46
VITOR SANTOS;466, 502, 472, 496
VITTOR MAHNIC;392, 362, 350
WALLACE MIRANDA;1039, 1030, 1051
WALTER JUNIOR;232, 232
WESLEI SILVA;544, 541
WESLEY SILVA;1258
WESLLEY JUNIOR;922, 916, 910
WILLIAM TOKUSHIMA;442, 466, 454, 433
WILLIAN OLIVEIRA;446, 470, 512
YAN MORAIS;1825, 1831
YASMIM ALVES;409, 391
YASMIM CAUNETO;250, 250, 241
YASMIN SÁ;2887, 2890, 2893
YOOKO KONNO;673, 655
YUMI SOUZA;211, 238, 232
